# Etrue_lo Etrue_hi Ereco_lo Ereco_hi P(Ereco|Etrue)
1.00000000e+04 1.41253754e+04 1.00000000e+04 1.41253754e+04 6.61088856e-01
1.00000000e+04 1.41253754e+04 1.41253754e+04 1.99526231e+04 3.38911144e-01
1.00000000e+04 1.41253754e+04 1.99526231e+04 2.81838293e+04 0.00000000e+00
1.00000000e+04 1.41253754e+04 2.81838293e+04 3.98107171e+04 0.00000000e+00
1.00000000e+04 1.41253754e+04 3.98107171e+04 5.62341325e+04 0.00000000e+00
1.00000000e+04 1.41253754e+04 5.62341325e+04 7.94328235e+04 0.00000000e+00
1.00000000e+04 1.41253754e+04 7.94328235e+04 1.12201845e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 1.12201845e+05 1.58489319e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 1.58489319e+05 2.23872114e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 2.23872114e+05 3.16227766e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 3.16227766e+05 4.46683592e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 4.46683592e+05 6.30957344e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 6.30957344e+05 8.91250938e+05 0.00000000e+00
1.00000000e+04 1.41253754e+04 8.91250938e+05 1.25892541e+06 0.00000000e+00
1.00000000e+04 1.41253754e+04 1.25892541e+06 1.77827941e+06 0.00000000e+00
1.00000000e+04 1.41253754e+04 1.77827941e+06 2.51188643e+06 0.00000000e+00
1.00000000e+04 1.41253754e+04 2.51188643e+06 3.54813389e+06 0.00000000e+00
1.00000000e+04 1.41253754e+04 3.54813389e+06 5.01187234e+06 0.00000000e+00
1.00000000e+04 1.41253754e+04 5.01187234e+06 7.07945784e+06 0.00000000e+00
1.00000000e+04 1.41253754e+04 7.07945784e+06 1.00000000e+07 0.00000000e+00
1.41253754e+04 1.99526231e+04 1.00000000e+04 1.41253754e+04 1.32295907e-02
1.41253754e+04 1.99526231e+04 1.41253754e+04 1.99526231e+04 7.39025096e-01
1.41253754e+04 1.99526231e+04 1.99526231e+04 2.81838293e+04 2.41395474e-01
1.41253754e+04 1.99526231e+04 2.81838293e+04 3.98107171e+04 0.00000000e+00
1.41253754e+04 1.99526231e+04 3.98107171e+04 5.62341325e+04 6.34983871e-03
1.41253754e+04 1.99526231e+04 5.62341325e+04 7.94328235e+04 0.00000000e+00
1.41253754e+04 1.99526231e+04 7.94328235e+04 1.12201845e+05 0.00000000e+00
